Date,Product,SKU,Quantity,Unit Type,Price Per Unit ($),Multiplier,Owner,Repository Slug,Username,Actions Workflow,Notes
2023-01-19,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
2023-01-20,Actions,Compute - UBUNTU,1,minute,0.008,1.0,andymckay,playground,andymckay,.github/workflows/main.yml,
2023-01-20,Actions,Compute - UBUNTU,1,minute,0.008,1.0,andymckay,playground,andymckay,.github/workflows/main.yml,
2023-01-20,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
2023-01-21,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
2023-01-22,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
2023-01-23,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
2023-01-24,Actions,Compute - UBUNTU,34,minute,0.008,1.0,andymckay,example-repo-one,andymckay,.github/workflows/blank.yml,
2023-01-24,Actions,Compute - UBUNTU,3,minute,0.008,1.0,andymckay,example-repo-two,andymckay,.github/workflows/blank.yml,
2023-01-24,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
2023-01-25,Actions,Compute - UBUNTU,11,minute,0.008,1.0,andymckay,example-repo,andymckay,.github/workflows/django.yml,
2023-01-25,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
2023-01-26,Shared Storage,Shared Storage,0.0,gb-day,0.008,1.0,andymckay,Organization Packages,,,
